Date,Day,Reactor,SampleID in BioProject PRJNA1197561 (NCBI),Temp (¢XC),pH,ORP (mV),EC (mS/cm),Alkalinity (mg CaCO3/L),Inf Nacl (%),Inf Sucrose (mg/L),Inf aspartic acid (mg/L),Eff Formate (mg/L),Eff Acetate (mg/L),Eff Propionate (mg/L),Eff Isobutyrate (mg/L),Eff Butyrate (mg/L),Eff Isovalerate (mg/L),Eff COD (mg/L),"Gas production (L/day, NTP)",H2 (%),N2 (%),CH4 (%),CO2 (%),DNA Concentration (ng/uL),measured HRT (day),measured ORL(kg-COD/m3/day)
2022/11/10,40,D1,Daughter1_D040,33.51,6.63,-450.05,3.51,1498.2,1.6,2000,0,1.86,1.01,0,0,0,0,100,0.9669,0.00E+00,13.88,59.68,26.44,262.54,2.26,1.09
2022/11/11,41,D1,Daughter1_D041,33.05,6.63,-450.68,3.53,1516.5,1.8,2000,0,2.03,1.27,0,0,0,0,20,0.7389,0.00E+00,13.41,60.1,26.5,220.88,2.22,1.02
2022/11/12,42,D1,Daughter1_D042,33.34,6.65,-443.32,3.65,1517.45,1.8,2000,0,0.93,0,0,0,0,0,140,0.7194,0.00E+00,10.96,61.22,27.82,189.71,2.37,1.1
2022/11/13,43,D1,Daughter1_D043,33.88,6.62,-449.79,3.56,1505.75,1.8,2000,0,1.75,0,0,0,0,0,50,1.0486,7.32E-02,11.44,61.03,27.45,160.06,2.24,1.09
2022/11/14,44,D1,Daughter1_D044,33.28,6.62,-445.62,3.57,1561.45,1.8,2000,0,1.88,0.68,1.58,0,0,0,50,1.0072,1.04E-01,13.74,60.02,26.13,267.59,2.27,1.09
2022/11/15,45,D1,Daughter1_D045,34.31,6.64,-420.32,3.79,1563.2,1.8,2000,0,9.11,0,0,0,0,0,50,0.947,6.30E-02,15.37,58.64,25.92,187.81,2.26,1.09
2022/11/16,46,D1,Daughter1_D046,33.76,6.63,-458.57,3.54,1541.5,2,2000,0,1.89,0,0,0,0,0,550,0.8613,0.00E+00,15.01,60.27,24.72,146.41,2.3,1.1
2022/11/17,47,D1,Daughter1_D047,34.02,6.65,-460.46,3.62,1525.5,2,2000,0,2.22,0,0,0,0,0,120,0.7305,0.00E+00,19.79,59.08,21.14,145.92,2.33,1.12
2022/11/18,48,D1,Daughter1_D048,33.7,6.67,-445.45,3.94,1522.6,2,2000,0,1.97,0,0,0,0,0,180,0.6307,0.00E+00,13.83,60.45,25.73,255.69,2.45,1.08
2022/11/19,49,D1,Daughter1_D049,34.03,6.66,-437.67,3.57,1515.45,2,2000,0,0,0,2.38,0,0,0,30,0.5979,0.00E+00,14.17,62.39,23.44,171.81,2.32,1.09
2022/11/20,50,D1,Daughter1_D050,33.78,6.65,-439.71,3.55,1485.9,2,2000,0,1.32,0,0,0,0,0,60,0.9143,0.00E+00,13.87,61.7,24.43,100.3,2.34,1.09
2022/11/21,51,D1,Daughter1_D051,33.89,6.66,-436.38,3.58,1505.95,2.2,2000,0,0.8,0,1.24,0,0,0,160,0.7945,0.00E+00,25.4,56.87,17.74,121.65,2.18,1.04
2022/11/22,52,D1,Daughter1_D052,34.55,6.67,-400.11,3.58,1457.15,2.2,2000,0,0.37,0,7.47,0,0,0,120,0.8947,0.00E+00,28.2,56.05,15.75,121.13,2.76,1.09
2022/11/23,53,D1,Daughter1_D053,33.89,6.66,-420.39,3.64,1505.4,2.2,2000,0,1.24,0.21,0,0,0,0,200,0.7198,0.00E+00,16.34,59.23,24.44,193.61,2.29,1.09
2022/11/24,54,D1,Daughter1_D054,33.38,6.68,-423.86,3.55,1565.95,2.2,2000,0,1.39,0,0,0,0,0,30,0.7777,0.00E+00,19.13,59.08,21.79,211.75,2.29,1.08
2022/11/25,55,D1,Daughter1_D055,33.58,6.67,-412.5,3.68,1549.35,2.2,2000,0,0.4,0.97,0,1.97,0,0,100,0.7697,0.00E+00,16.02,58.83,25.15,213.03,2.54,1.1
2022/11/26,56,D1,Daughter1_D056,33.54,6.66,-433.19,3.55,1551.55,2.4,2000,0,1.08,1.36,0,3.05,0,0,130,1.0236,8.00E-02,15.42,60.17,24.33,118.96,2.27,1.03
2022/11/27,57,D1,Daughter1_D057,33.63,6.64,-435.2,3.45,1543.15,2.4,2000,0,1.04,0.99,0,3.71,0,0,0,1.1509,7.35E-02,14.85,60.01,25.06,138.52,2.26,1.12
2022/11/28,58,D1,Daughter1_D058,32.87,6.63,-430.73,3.62,1555,2.4,2000,0,2.08,2.1,0,3.7,0,0,60,1.0017,0.00E+00,15.18,60.31,24.51,186.6,2.22,1.04
2022/11/29,59,D1,Daughter1_D059,31.91,6.7,-421.1,3.56,1529,2.4,2000,0,1.34,0.98,0,3.32,0,0,120,0.966,0.00E+00,17.39,60.83,21.79,236.03,2.15,1.1
2022/11/30,60,D1,Daughter1_D060,33.06,6.65,-430.14,3.55,1526.75,2.4,2000,0,0.67,1.07,1.62,5.13,0,0,220,1.0465,0.00E+00,12.95,62.24,24.81,139.63,2.15,1.1
2022/12/1,61,D1,Daughter1_D061,33.31,6.7,-434.22,3.57,1525.75,2.6,2000,0,1.79,0.49,0,5.25,0,0,170,0.9987,0.00E+00,11.64,62.17,26.19,213.74,2.16,1.08
2022/12/2,62,D1,Daughter1_D062,32.75,6.71,-437.2,3.53,1530.9,2.6,2000,0,1.43,0,0,7.02,0,0,350,0.9939,0.00E+00,15.62,60.5,23.88,230.09,2.16,1.1
2022/12/3,63,D1,Daughter1_D063,32.98,6.72,-440.9,3.51,1503.2,2.6,2000,0,1.48,0,0,0,0,0,470,0.9911,0.00E+00,16.66,59.71,23.63,159,2.25,1.12
2022/12/4,64,D1,Daughter1_D064,33.6,6.7,-443.96,3.53,1532.2,2.6,2000,0,1.5,0,0,7.64,0,0,40,1.0712,0.00E+00,14.64,60.58,24.78,245.64,2.2,1.12
2022/12/5,65,D1,Daughter1_D065,33.07,6.7,-437.57,3.53,1518.95,2.6,2000,0,0.62,0,2.05,9.33,0,0,220,1.0382,0.00E+00,14.62,60.78,24.6,213.83,2.18,1.08
2022/12/6,66,D1,Daughter1_D066,33.04,6.72,-432.19,3.54,1515.75,2.8,2000,0,0.67,0.75,2.51,8.58,0,0,10,1.0322,0.00E+00,15.32,59.74,24.94,99,2.2,1.04
2022/12/7,67,D1,Daughter1_D067,33.22,6.72,-442.57,3.5,1521.7,2.8,2000,0,0.69,0.65,2.83,7.42,0,0,60,0.931,0.00E+00,14.5,59.96,25.55,198.75,2.22,1.09
2022/12/8,68,D1,Daughter1_D068,33.2,6.72,-442.25,3.52,1489.25,2.8,2000,0,0.61,0.78,2.94,11.17,0,0,490,0.8441,0.00E+00,14.27,60.06,25.67,200.41,2.22,1.09
2022/12/9,69,D1,Daughter1_D069,33.17,6.72,-439,3.57,1481.95,2.8,2000,0,0.57,0,1.38,14.07,0,0,30,0.8311,0.00E+00,15.49,59.48,25.03,200.39,2.23,1.13
2022/12/10,70,D1,Daughter1_D070,32.92,6.72,-440.38,3.62,1448.35,2.8,2000,0,1.35,0,3.14,0,0,0,60,0.8214,0.00E+00,15.5,60.04,24.46,152.13,2.09,1.15
2022/12/11,71,D1,Daughter1_D071,32.8,6.73,-442.06,3.61,1440.75,3,2000,0,0.41,0,0,3.48,0,0,40,0.9909,0.00E+00,14.48,60.09,25.43,164.62,1.96,2.09
2022/12/12,72,D1,Daughter1_D072,32.31,6.75,-445.94,3.46,1519.95,3,2000,0,0.99,0,2.92,10.51,0,0,140,0.8207,0.00E+00,15.05,60.54,24.41,172.48,2.06,0.48
2022/12/13,73,D1,Daughter1_D073,32.67,6.76,-447.57,3.5,1529.25,3,2000,0,0.89,0,4.47,11.92,0,0,30,0.8389,0.00E+00,15.09,60.78,24.14,208.04,2,1.1
2022/12/14,74,D1,Daughter1_D074,32.78,6.76,-448.43,3.52,1526.2,3,2000,0,0.93,0,7.2,8.43,0,0,20,0.8504,0.00E+00,15.03,61.19,23.79,231.92,2,1.08
2022/12/15,75,D1,Daughter1_D075,32.95,6.76,-447.96,3.52,1537,3,2000,0,0.93,0,5.19,7.99,0,0,0,0.9027,0.00E+00,14.9,61.08,24.02,203.75,2.18,1.09
2022/12/16,76,D1,Daughter1_D076,32.81,6.76,-449,3.56,1544.9,3.2,2000,0,0.87,0.68,0,6.86,0,0,20,0.7279,0.00E+00,12.75,59.6,27.64,140.4,2.02,1.06
2022/12/17,77,D1,Daughter1_D077,32.22,6.76,-411.8,3.44,1545.2,3.2,2000,0,2.51,1.36,0,0,0,0,90,0.6095,0.00E+00,13.66,60.56,25.78,262.99,1.96,1.16
2022/12/18,78,D1,Daughter1_D078,33.34,6.77,-433.42,3.47,1503,3.2,2000,0,1.09,0,6.48,6.02,1.18,0,60,0.7937,0.00E+00,19.12,58.09,22.78,222.25,1.99,1.03
2022/12/19,79,D1,Daughter1_D079,33.33,6.8,-451,3.53,1525.75,3.2,2000,0,0,0,2.2,4.17,0,0,230,0.7873,0.00E+00,12.75,59.6,27.64,237.85,3.12,1.1
2022/12/20,80,D1,Daughter1_D080,33.04,6.81,-448.84,3.51,1534.8,3.2,2000,0,1,0,3.14,6.2,0,0,10,0.7828,0.00E+00,11.68,60.97,27.36,158.96,2.03,1.08
2022/12/21,81,D1,Daughter1_D081,33.33,6.8,-399.92,3.56,1602.95,3.4,2000,0,2.17,0,0,5.95,0,0,580,0.8437,0.00E+00,12.75,59.28,27.98,183.39,2.03,1.08
2022/12/22,82,D1,Daughter1_D082,32.39,6.8,-446.95,3.64,1586.95,3.4,2000,0,2.63,0,0,6.84,0,0,20,0.8102,0.00E+00,21.77,58.73,19.5,161.73,2.05,1.08
2022/12/23,83,D1,Daughter1_D083,32.95,6.81,-421.9,3.59,1629.2,3.4,2000,0,0,0,2.98,6.39,0,0,130,0.8972,0.00E+00,20.22,59.25,20.54,182.22,2.15,1.11
2022/12/24,84,D1,Daughter1_D084,32.5,6.82,-436.05,3.62,1618.45,3.4,2000,0,2.55,0,0,5.74,0,0,90,0.8295,0.00E+00,10.58,61.68,27.74,120.03,2.11,1.08
2022/12/25,85,D1,Daughter1_D085,32.89,6.83,-454.91,3.61,1607.75,3.4,2000,0,1.75,0,0,6.42,0,0,250,0.8582,0.00E+00,16.73,60.92,22.35,143.72,2.09,1.1
2022/12/26,86,D1,Daughter1_D086,33.26,6.83,-456.76,3.7,1602.15,3.6,2000,0,1.45,0,0,5.47,0,0,150,0.7785,0.00E+00,22.23,64.51,13.26,179.18,2.06,1.04
2022/12/27,87,D1,Daughter1_D087,33.13,6.82,-439.09,3.7,1599.65,3.6,2000,0,0,0,4.86,8.56,0,0,70,0.8017,0.00E+00,24.15,58.7,17.14,224.13,2.15,1.06
2022/12/28,88,D1,Daughter1_D088,33.09,6.83,-356.63,3.63,1556.1,3.6,2000,0,0,0,0,12.1,0,0,60,0.6843,0.00E+00,14.03,60.17,25.79,230.21,2.06,1.1
2022/12/29,89,D1,Daughter1_D089,32.96,6.81,-445.7,3.59,1553.95,3.6,2000,0,0,0.59,5.75,12.19,0,0,110,0.8242,0.00E+00,10.8,62.75,26.44,198.5,2.12,1.07
2022/12/30,90,D1,Daughter1_D090,33.04,6.81,-447.73,3.64,1592.2,3.6,2000,0,1.6,0,0,11.83,0,0,40,0.6632,0.00E+00,15.76,60.57,23.67,221.26,2.07,1.08
2022/12/31,91,D1,Daughter1_D091,32.98,6.8,-441.91,3.76,1510,3.8,2000,0,8.81,12.53,23.87,52.99,0,0,40,,,,,,190.46,3.96,1.2
2023/1/1,92,D1,Daughter1_D092,33.29,6.78,-449,3.55,1529.5,3.8,2000,0,1.77,0,0,11.37,0,0,90,0.9948,0.00E+00,16.17,57.63,26.2,214.29,2.11,1.03
2023/1/2,93,D1,Daughter1_D093,33.12,6.76,-451.65,3.55,1504.45,3.8,2000,0,1.9,0,0,14.41,0,0,30,0.8615,0.00E+00,13,58.31,28.69,172.98,2.06,1.1
2023/1/3,94,D1,Daughter1_D094,32.96,6.76,-453,3.87,1522.95,3.8,2000,0,0,0.74,4.31,0,0,0,40,0.8566,0.00E+00,13.11,59.42,27.47,239.26,2.1,1.04
2023/1/4,95,D1,Daughter1_D095,32.84,6.78,-444.17,3.63,1561.25,3.8,2000,0,0,0.79,3.9,0,0,0,10,0.7142,0.00E+00,13.72,59.46,26.82,219.92,2.12,1.05
2023/1/5,96,D1,Daughter1_D096,33.05,6.78,-447.09,3.61,1517.45,4,2000,0,2.2,0,0,16.92,0,0,80,0.7932,0.00E+00,16.36,56.59,27.06,201.46,2.13,1.09
2023/1/6,97,D1,Daughter1_D097,32.7,6.77,-441.55,3.54,1519.75,4,2000,0,0,0.83,5.16,9.58,0,0,30,0.7039,0.00E+00,20.74,59.75,19.51,206.56,2,1.05
2023/1/7,98,D1,Daughter1_D098,33.05,6.77,-421.35,3.55,1564.5,4,2000,0,0,0,4.58,8.95,0,0,560,0.7895,0.00E+00,22.76,57.94,19.3,188.35,2.15,1.08
2023/1/8,99,D1,Daughter1_D099,33.1,6.77,-446.29,3.49,1548,4,2000,0,2.73,0,0,11.34,0,0,240,0.7962,0.00E+00,20.8,58.38,20.83,217.51,2.11,1.25
2023/1/9,100,D1,Daughter1_D100,32.86,6.77,-451.88,3.53,1559.25,4,2000,0,0,0,0,11.38,0,0,80,0.7465,0.00E+00,12.07,60.96,26.97,234.36,2.13,0.86
2023/1/10,101,D1,Daughter1_D101,32.8,6.77,-452.04,3.5,1534.7,4,2000,0,2.54,0.6,0,13.9,0,0,30,0.8382,0.00E+00,23.88,58.76,17.35,207.57,2.09,1.09
2023/1/11,102,D1,Daughter1_D102,32.74,6.76,-434.09,3.58,1551.6,4,2000,0,0,0,3.78,15.73,0,0,30,0.7108,0.00E+00,15.59,58.6,25.82,222.92,1.98,0.98
2023/1/12,103,D1,Daughter1_D103,32.75,6.76,-451.75,3.62,1520.5,4,2000,0,0,0,0,15.95,0,0,460,0.7612,0.00E+00,8.99,60.11,30.9,180.14,2,1.12
2023/1/13,104,D1,Daughter1_D104,32.86,6.75,-451.24,3.55,1542.75,4,2000,0,0,0.52,3.68,4.54,0,0,60,0.7894,0.00E+00,12.79,61.73,25.48,237.25,2.02,1.08
2023/1/14,105,D1,Daughter1_D105,33.35,6.73,-449.52,3.55,1526.5,4,2000,0,3.19,0,0,13.75,0,0,20,0.8282,0.00E+00,25.69,57.69,16.62,266.55,2.07,1.09
2023/1/15,106,D1,Daughter1_D106,32.7,6.71,-453.97,3.5,1533.75,4,2000,0,3.36,23.51,0,34.21,0,0,50,0.8244,0.00E+00,12.54,58.37,29.08,222.47,2.14,1.13
2023/1/16,107,D1,Daughter1_D107,32.8,6.76,-458.36,3.56,1583,4,2000,0,1.06,0.66,3.44,15.75,0,0,280,0.8348,0.00E+00,19.97,59.18,20.85,246.53,2.1,
2023/1/17,108,D1,Daughter1_D108,32.83,6.77,-457.43,3.51,1598.75,4,2000,0,0,0,3.38,14.77,0,0,60,0.8563,0.00E+00,19.11,59.88,21,211.48,2.04,1.09
2023/1/18,109,D1,Daughter1_D109,32.7,6.78,-452.3,3.56,1551.1,4,2000,0,2.58,0,0,12.02,0,0,10,0.8401,0.00E+00,25.56,57.88,16.55,212.81,1.88,1.1
2023/1/19,110,D1,Daughter1_D110,32.38,6.79,-454.18,3.58,1581.7,4,2000,0,1.13,1.03,3.23,14.38,0,0,60,0.7257,0.00E+00,11.87,59.16,28.97,225.41,1.89,1.11
2022/10/2,1,D2,Daughter2_D001,33,6.58,-352.29,3.83,1433,0.2,2000,0,0,85.38,61.34,5.95,0,5.85,400,0.9917,0.00E+00,29.93,51.83,18.23,120.49,2,1.12
2022/10/3,2,D2,Daughter2_D002,32.91,6.56,-340.91,4.93,1428.5,0.2,2000,0,0.17,79.85,64.99,5.97,0,6.17,210,0.8474,0.00E+00,24.07,54.93,21,100.16,2,1.04
2022/10/4,3,D2,Daughter2_D003,33.4,6.54,-366.5,5.65,1484.7,0.2,2000,0,1.35,53.06,32.81,4.01,0,2.13,220,0.9233,0.00E+00,21.59,55.7,22.71,100.49,1.99,1.1
2022/10/5,4,D2,Daughter2_D004,32.88,6.55,-366.2,6.13,1496.15,0.2,2000,0,1.24,43.21,26.48,0,0,1.19,150,0.8019,0.00E+00,19.47,57.36,23.17,264.93,2.01,1.13
2022/10/6,5,D2,Daughter2_D005,32.9,6.55,-269.6,6.41,1494.5,0.2,2000,0,1.35,47.21,32.1,3.55,0,0,310,0.7216,0.00E+00,21.01,58.11,20.88,279.44,2.01,1.03
2022/10/7,6,D2,Daughter2_D006,33.07,6.54,-288.17,6.82,1500.75,0.4,2000,0,1.24,40.09,28.44,2.36,0,0,100,0.56,0.00E+00,16.54,58.83,24.64,221.01,2.06,1.08
2022/10/8,7,D2,Daughter2_D007,32.87,6.53,-267.55,7.98,1501.5,0.4,2000,0,0.49,42.95,27.8,2.37,0,0,200,0.5076,0.00E+00,17.14,59.3,23.56,116.04,2.03,1.11
2022/10/9,8,D2,Daughter2_D008,33.08,6.52,-282.59,8.53,1516.2,0.4,2000,0,0.53,36.16,24.16,2.44,0,0,150,0.8037,0.00E+00,19.28,59.32,21.4,179.38,2.04,1.07
2022/10/10,9,D2,Daughter2_D009,32.94,6.55,-236.24,9.04,1503.35,0.4,2000,0,0,39.28,34.7,3.94,0,0,420,0.6764,0.00E+00,20.85,57.54,21.6,270,2.03,1.1
2022/10/11,10,D2,Daughter2_D010,32.94,6.59,-182.45,9.43,1520.55,0.4,2000,0,0.84,32.3,23.03,3.73,0,0,90,0.492,0.00E+00,17.84,60.27,21.89,185.57,2.05,1.07
2022/10/12,11,D2,Daughter2_D011,32.93,6.6,-199.88,10.05,1505.8,0.6,2000,0,0.31,21.31,13.78,2.69,0,0,230,0.583,0.00E+00,17.8,59.25,22.94,148.09,2.06,1.1
2022/10/13,12,D2,Daughter2_D012,34.13,6.58,-197.09,11.1,1520.5,0.6,2000,0,0.43,10.61,5.79,2.24,0,0,130,0.6474,0.00E+00,17.72,57.01,25.27,172.68,2.04,1.12
2022/10/14,13,D2,Daughter2_D013,33.55,6.56,-231.39,11.82,1496.85,0.6,2000,0,0.29,15.83,8.28,0,0,0,140,0.6362,0.00E+00,19.74,58.4,21.86,154.66,2.08,1.12
2022/10/15,14,D2,Daughter2_D014,33.27,6.56,-180.48,12.2,1518.4,0.6,2000,0,0.3,14.64,6.01,2.73,0,0,10,0.6442,0.00E+00,15.53,60.77,23.7,227.99,2.05,1.06
2022/10/16,15,D2,Daughter2_D015,33.23,6.55,-220.5,12.34,1496.65,0.6,2000,0,0.26,15.15,5.92,0,0,0,0,0.6668,0.00E+00,14.48,60.15,25.37,214.7,2.06,1.03
2022/10/17,16,D2,Daughter2_D016,33.23,6.52,-303.26,12.99,1507,0.8,2000,0,0.47,17.33,6.57,2.17,0,0,120,0.6911,0.00E+00,14.84,58.33,26.83,133.44,2.07,1.06
2022/10/18,17,D2,Daughter2_D017,33.03,6.53,-189.4,14.05,1521.7,0.8,2000,0,0.34,13.3,4.75,2.61,0,0,100,0.6459,0.00E+00,16.31,58.81,24.88,140.31,2.11,1.11
2022/10/19,18,D2,Daughter2_D018,32.43,6.56,-241.42,14.45,1517.15,0.8,2000,0,1.23,23.68,8.34,2.83,1.98,0,50,,0.00E+00,17.83,59.41,22.76,208.57,2.05,1.08
2022/10/20,19,D2,Daughter2_D019,33.15,6.55,-282.35,15.06,1527.65,0.8,2000,0,0.5,3.95,1.88,2.4,0,0,10,0.4719,0.00E+00,16.33,59.62,24.05,180.72,2.15,1.08
2022/10/21,20,D2,Daughter2_D020,33.39,6.55,-277.5,15.42,1548,0.8,2000,0,,,,,,,90,1.019,0.00E+00,16.45,58.81,24.74,224.48,2.14,1.08
2022/10/22,21,D2,Daughter2_D021,32.97,6.54,-294.83,15.33,1525.7,1,2000,0,0.62,3.25,1.29,0,0,0,90,0.9434,0.00E+00,14.12,57.64,28.24,128.57,2.2,1.08
2022/10/23,22,D2,Daughter2_D022,33.5,6.51,-326.4,16.55,1528.45,1,2000,0,0.57,1.52,0,1.84,0,0,20,1.0161,0.00E+00,15.51,58.83,25.66,157.88,2.13,1.13
2022/10/24,23,D2,Daughter2_D023,33.15,6.53,-334.14,17.06,1528.45,1,2000,0,0.89,1.55,0,1.94,0,0,360,0.8217,0.00E+00,14.82,59.53,25.66,245.51,2.15,1.04
2022/10/25,24,D2,Daughter2_D024,33.42,6.54,-222.94,18.13,1547.8,1,2000,0,1.28,2.03,0,2.79,0,0,100,0.6596,0.00E+00,17.27,58.73,24,221.5,2.15,1.08
2022/10/26,25,D2,Daughter2_D025,33.51,6.56,-319.35,18.25,1544.5,1,2000,0,1.03,0,0,2,0,0,100,0.9312,0.00E+00,17.88,59.07,23.05,232.21,2.15,1.05
2022/10/27,26,D2,Daughter2_D026,33.61,6.54,-326.23,18.85,1535.85,1.2,2000,0,1.62,0,0,0,0,0,80,0.4786,0.00E+00,18.44,58.59,22.97,212.13,2.16,1.1
2022/10/28,27,D2,Daughter2_D027,33.18,6.53,-333.76,19.7,1542.5,1.2,2000,0,1.62,0,0,0,0,0,,0.937,0.00E+00,15.19,59.46,25.34,191.73,2.19,1.1
2022/10/29,28,D2,Daughter2_D028,33.28,6.51,-386.13,19.9,1499,1.2,2000,0,2.49,0,0,0,0,0,100,0.9939,0.00E+00,15.61,59.68,24.71,255.57,2.12,1.1
2022/10/30,29,D2,Daughter2_D029,33.2,6.51,-365.75,20.6,1519.1,1.2,2000,0,2.33,0.39,0,0,0,0,680,0.7648,0.00E+00,14.89,59.65,25.46,240.89,2.16,1.15
2022/10/31,30,D2,Daughter2_D030,32.61,6.51,-408.91,20.6,1518.7,1.2,2000,0,1.67,0,0,0,0,0,260,0.7414,0.00E+00,15.18,59.19,25.62,160.92,2.17,1.01
2022/11/1,31,D2,Daughter2_D031,32.98,6.51,-396.77,21.7,1495.3,1.4,2000,0,1.24,0,0,0,0,0,100,1.0337,0.00E+00,12.68,59.36,27.96,343.03,2.75,1.01
2022/11/2,32,D2,Daughter2_D032,32.99,6.49,-388.52,21.9,1491.5,1.4,2000,0,1.03,0,0,0,0,0,50,0.9558,0.00E+00,16.4,58.58,25.02,156.23,2.17,1.14
2022/11/3,33,D2,Daughter2_D033,32.2,6.5,-421.59,23.1,1490.7,1.4,2000,0,0.98,0,0,0,0,0,100,0.9363,0.00E+00,14.92,59.45,25.63,131.75,2.25,1.19
2022/11/4,34,D2,Daughter2_D034,32.87,6.46,-455.74,23.3,1452.7,1.4,2000,0,0.82,2.68,1.17,0,0,0,110,0.7536,0.00E+00,14.26,58.17,27.57,137.84,2.21,0.99
2022/11/5,35,D2,Daughter2_D035,32.89,6.45,-458.38,23.5,1472.8,1.4,2000,0,0.61,7.24,4.97,0,0,0,90,0.7649,0.00E+00,15.9,57.47,26.63,116.3,2.21,1.08
2022/11/6,36,D2,Daughter2_D036,32.81,6.43,-454.21,24.1,1473.9,1.6,2000,0,1.46,16.22,11.01,2.89,0,0,120,0.7126,0.00E+00,14.58,57.67,27.75,115.59,2.21,1.08
2022/11/7,37,D2,Daughter2_D037,32.87,6.44,-417.81,25.6,1489.55,1.6,2000,0,1.21,27.27,14.62,3.12,0,0,150,0.6846,0.00E+00,18.25,54.9,26.85,148.04,2.21,1.07
2022/11/8,38,D2,Daughter2_D038,32.82,6.47,-294.09,25.8,1479.1,1.6,2000,0,1.27,2.24,1.22,2.21,0,0,170,0.6373,0.00E+00,33.3,47.42,19.28,176.91,2.23,1.09
2022/11/9,39,D2,Daughter2_D039,33.03,6.47,-452.09,26.3,1485.55,1.6,2000,0,2.63,22.1,9.17,0,0,0,130,0.7586,0.00E+00,16.55,58.49,24.96,186.83,2.07,1.06
2022/11/10,40,D2,Daughter2_D040,33.26,6.47,-452,26.2,1446.95,1.6,2000,0,2.82,14.44,6.03,0,0,0,200,0.767,0.00E+00,34.15,45.95,19.9,176.27,2.38,1.07
2022/11/11,41,D2,Daughter2_D041,32.73,6.47,-456.27,27.4,1482.95,1.8,2000,0,3.9,18.87,6.96,0,0,0,170,0.5898,8.73E-02,17.02,58.49,24.41,208.99,2.19,1.02
2022/11/12,42,D2,Daughter2_D042,32.89,6.47,-450.37,28.6,1467.25,1.8,2000,0,4.09,18.74,7.28,0,0,0,180,0.6168,0.00E+00,14.63,59.47,25.9,152.16,2.33,1.09
2022/11/13,43,D2,Daughter2_D043,33.71,6.46,-451.84,28.7,1398.4,1.8,2000,0,2.4,10.05,3.92,0,0,0,170,0.8861,0.00E+00,15.16,59.06,25.79,326.9,2.22,1.06
2022/11/14,44,D2,Daughter2_D044,33.23,6.45,-421.04,28.6,1470.85,1.8,2000,0,1.86,30.2,13.83,0,0,0,230,0.8907,0.00E+00,16.61,57.99,25.41,156.13,2.28,1.09
2022/11/15,45,D2,Daughter2_D045,33.59,6.46,-410.95,29.6,1480.5,1.8,2000,0,1.85,39.12,21.94,0,0,0,220,0.6046,0.00E+00,17.53,57.82,24.64,285.16,2.31,1.07
2022/11/16,46,D2,Daughter2_D046,33.01,6.47,-442.65,30.2,1505.65,2,2000,0,2.49,29.42,20.36,0,0,0,610,0.8152,0.00E+00,17.16,58.24,24.6,171.94,2.26,1.05
2022/11/17,47,D2,Daughter2_D047,33.28,6.47,-424.21,31,1497.7,2,2000,0,0,19.88,17.42,0,0,0,190,0.8978,0.00E+00,16.09,58.94,24.97,188.19,2.25,1.12
2022/11/18,48,D2,Daughter2_D048,33.12,6.47,-426.14,31.7,1516.9,2,2000,0,0.3,22.08,22.82,,0,0,310,0.6829,0.00E+00,17.44,58.86,23.71,285.56,2.38,1.07
2022/11/19,49,D2,Daughter2_D049,33.26,6.47,-438.83,32,1514.6,2,2000,0,0.23,27.14,26.96,0,0,0,160,0.7527,0.00E+00,13.45,60.45,26.11,258.3,2.26,1.06
2022/11/20,50,D2,Daughter2_D050,32.98,6.47,-442.58,32.2,1530.9,2,2000,0,0.15,3.54,3.97,0,0,0,130,0.6762,0.00E+00,14.45,61.88,23.66,235.71,2.54,0.95
2022/11/21,51,D2,Daughter2_D051,32.99,6.48,-244.63,32.2,1514.2,2.2,2000,0,0.67,18.64,0,1.28,0,0,300,0.7448,0.00E+00,17.36,58.47,24.18,195.17,2.2,1.06
2022/11/22,52,D2,Daughter2_D052,33.77,6.48,-361.37,33.4,1502.2,2.2,2000,0,0.13,24.06,30,0,0,0,230,0.4438,0.00E+00,17.56,58.57,23.88,109.63,2.35,1.13
2022/11/23,53,D2,Daughter2_D053,33.23,6.49,-449.87,34.5,1515.3,2.2,2000,0,0.51,25.45,30.23,0,3.68,0,310,0.5717,0.00E+00,15.18,59.66,25.16,172.33,2.21,1.04
2022/11/24,54,D2,Daughter2_D054,32.81,6.51,-441.36,34.5,1538.15,2.2,2000,0,0.3,22.19,25.8,1.73,3.26,0,200,0.5721,0.00E+00,27.27,52,20.74,198.32,2.27,1.08
2022/11/25,55,D2,Daughter2_D055,32.96,6.5,-364.45,34.9,1519.2,2.2,2000,0,0.54,34.81,32.07,1.95,7.15,0,330,0.8539,6.20E-02,19.66,58.38,21.9,189.83,2.62,1.06
2022/11/26,56,D2,Daughter2_D056,33.08,6.67,-321.5,35.5,1615.6,2.4,2000,0,0.37,0.06,0,0,0,0,140,,,,,,247.92,2.56,
2022/11/27,57,D2,Daughter2_D057,33.36,6.82,-251.4,34,1665.25,2.4,2000,0,0.27,0.06,0,1.52,0,0,170,,,,,,203.77,2.67,0.06
2022/11/28,58,D2,Daughter2_D058,33.13,6.62,-412.08,37.3,1593.35,2.4,2000,0,0.95,18.86,24.55,0,0,0,170,0.4642,0.00E+00,24.39,58.52,17.09,284.08,1.95,1.06
