Date,Day,Reactor,SampleID in BioProject PRJNA1197561 (NCBI),Temp (¢XC),pH,ORP (mV),EC (mS/cm),Alkalinity (mg CaCO3/L),Inf Nacl (%),Inf Sucrose (mg/L),Inf aspartic acid (mg/L),Eff Formate (mg/L),Eff Acetate (mg/L),Eff Propionate (mg/L),Eff Isobutyrate (mg/L),Eff Butyrate (mg/L),Eff Isovalerate (mg/L),Eff COD (mg/L),"Gas production (L/day, NTP)",H2 (%),N2 (%),CH4 (%),CO2 (%),DNA Concentration (ng/uL),measured HRT (day),measured ORL(kg-COD/m3/day)
2022/12/15,75,D3,Daughter3_D075,33.74,6.38,-426.87,46.4,1490.9,3,2000,0,1.59,44.26,261.35,4.85,0,1.98,520,0.5297,0.00E+00,16.32,56.91,26.76,244.139,2.17,0.96
2022/12/16,76,D3,Daughter3_D076,33.27,6.36,-425.35,45.3,1495.7,3.2,2000,0,1.29,46.51,272.98,4.95,1.61,2.04,630,0.5512,0.00E+00,15.3,56.53,28.16,244.515,2.01,1.11
2022/12/17,77,D3,Daughter3_D077,32.97,6.34,-416.5,44,1454.9,3.2,2000,0,1.19,18.65,141.75,2.22,0,0,520,0.4207,0.00E+00,17.98,56.02,26,206.945,1.82,1.22
2022/12/18,78,D3,Daughter3_D078,33.24,6.39,-414.25,45.8,1441.75,3.2,2000,0,0,27.15,200.9,5.21,0,2.12,460,0.5388,0.00E+00,20.86,57.51,21.63,208.942,2.01,1.1
2022/12/19,79,D3,Daughter3_D079,33.19,6.44,-427.89,45.5,1475,3.2,2000,0,0,19.73,129.04,4.64,0,1.36,580,0.4,0.00E+00,19.68,58.25,22.07,258.39,3.1,0.75
2022/12/20,80,D3,Daughter3_D080,32.97,6.51,-433.26,47.8,1526.65,3.2,2000,0,1.35,8.26,108.91,5.31,0,1.77,350,0.2719,0.00E+00,31.85,53.7,14.45,256.413,4.59,0.42
2022/12/21,81,D3,Daughter3_D081,32.82,6.47,-402.13,47.8,1519,3.4,2000,0,1.63,28.94,100.04,3.45,0,1.44,320,0.3792,0.00E+00,17.67,58.47,23.86,309.943,1.97,1.08
2022/12/22,82,D3,Daughter3_D082,32.52,6.4,-418.81,49,1529.25,3.4,2000,0,1.64,51.72,194.52,4.15,0,0.47,450,0.3699,0.00E+00,17.65,57.63,24.72,243.332,1.98,1.14
2022/12/23,83,D3,Daughter3_D083,33.06,6.38,-419,49.4,1525.6,3.4,2000,0,3.27,51.42,231.62,4.42,0,0.47,600,0.4295,0.00E+00,18.11,57.22,24.67,252.959,2.05,1.14
2022/12/24,84,D3,Daughter3_D084,33,6.38,-419.14,50.6,1493.15,3.4,2000,0,2.07,51.22,242.12,4.63,0,0.83,510,0.418,,,,,280.165,2.03,1.14
