sample-id	Operation-day	Date	Salt	Reactor
Daughter1_D041	41	2022/11/11	0	Daughter1
Daughter1_D042	42	2022/11/12	0	Daughter1
Daughter1_D043	43	2022/11/13	0	Daughter1
Daughter1_D044	44	2022/11/14	0	Daughter1
Daughter1_D045	45	2022/11/15	0	Daughter1
Daughter1_D046	46	2022/11/16	0	Daughter1
Daughter1_D047	47	2022/11/17	0	Daughter1
Daughter1_D048	48	2022/11/18	0	Daughter1
Daughter1_D049	49	2022/11/19	0	Daughter1
Daughter1_D050	50	2022/11/20	0	Daughter1
Daughter1_D051	51	2022/11/21	0	Daughter1
Daughter1_D052	52	2022/11/22	0	Daughter1
Daughter1_D053	53	2022/11/23	0	Daughter1
Daughter1_D054	54	2022/11/24	0	Daughter1
Daughter1_D055	55	2022/11/25	0	Daughter1
Daughter1_D056	56	2022/11/26	0	Daughter1
Daughter1_D057	57	2022/11/27	0	Daughter1
Daughter1_D058	58	2022/11/28	0	Daughter1
Daughter1_D059	59	2022/11/29	0	Daughter1
Daughter1_D060	60	2022/11/30	0	Daughter1
Daughter1_D061	61	2022/12/1	0	Daughter1
Daughter1_D062	62	2022/12/2	0	Daughter1
Daughter1_D063	63	2022/12/3	0	Daughter1
Daughter1_D064	64	2022/12/4	0	Daughter1
Daughter1_D065	65	2022/12/5	0	Daughter1
Daughter1_D066	66	2022/12/6	0	Daughter1
Daughter1_D067	67	2022/12/7	0	Daughter1
Daughter1_D068	68	2022/12/8	0	Daughter1
Daughter1_D069	69	2022/12/9	0	Daughter1
Daughter1_D070	70	2022/12/10	0	Daughter1
Daughter1_D071	71	2022/12/11	0	Daughter1
Daughter1_D072	72	2022/12/12	0	Daughter1
Daughter1_D073	73	2022/12/13	0	Daughter1
Daughter1_D074	74	2022/12/14	0	Daughter1
Daughter1_D075	75	2022/12/15	0	Daughter1
Daughter1_D076	76	2022/12/16	0	Daughter1
Daughter1_D077	77	2022/12/17	0	Daughter1
Daughter1_D078	78	2022/12/18	0	Daughter1
Daughter1_D079	79	2022/12/19	0	Daughter1
Daughter1_D080	80	2022/12/20	0	Daughter1
Daughter1_D081	81	2022/12/21	0	Daughter1
Daughter1_D082	82	2022/12/22	0	Daughter1
Daughter1_D083	83	2022/12/23	0	Daughter1
Daughter1_D084	84	2022/12/24	0	Daughter1
Daughter1_D085	85	2022/12/25	0	Daughter1
Daughter1_D086	86	2022/12/26	0	Daughter1
Daughter1_D087	87	2022/12/27	0	Daughter1
Daughter1_D088	88	2022/12/28	0	Daughter1
Daughter1_D089	89	2022/12/29	0	Daughter1
Daughter1_D090	90	2022/12/30	0	Daughter1
Daughter1_D091	91	2022/12/31	0	Daughter1
Daughter1_D092	92	2023/1/1	0	Daughter1
Daughter1_D093	93	2023/1/2	0	Daughter1
Daughter1_D094	94	2023/1/3	0	Daughter1
Daughter1_D095	95	2023/1/4	0	Daughter1
Daughter1_D096	96	2023/1/5	0	Daughter1
Daughter1_D097	97	2023/1/6	0	Daughter1
Daughter1_D098	98	2023/1/7	0	Daughter1
Daughter1_D099	99	2023/1/8	0	Daughter1
Daughter1_D100	100	2023/1/9	0	Daughter1
Daughter1_D101	101	2023/1/10	0	Daughter1
Daughter1_D102	102	2023/1/11	0	Daughter1
Daughter1_D103	103	2023/1/12	0	Daughter1
Daughter1_D104	104	2023/1/13	0	Daughter1
Daughter1_D105	105	2023/1/14	0	Daughter1
Daughter1_D106	106	2023/1/15	0	Daughter1
Daughter1_D107	107	2023/1/16	0	Daughter1
Daughter1_D108	108	2023/1/17	0	Daughter1
Daughter1_D109	109	2023/1/18	0	Daughter1
Daughter1_D110	110	2023/1/19	0	Daughter1
Daughter2_D001	1	2022/10/2	0.2	Daughter2
Daughter2_D002	2	2022/10/3	0.2	Daughter2
Daughter2_D003	3	2022/10/4	0.2	Daughter2
Daughter2_D004	4	2022/10/5	0.2	Daughter2
Daughter2_D005	5	2022/10/6	0.2	Daughter2
Daughter2_D006	6	2022/10/7	0.4	Daughter2
Daughter2_D007	7	2022/10/8	0.4	Daughter2
Daughter2_D008	8	2022/10/9	0.4	Daughter2
Daughter2_D009	9	2022/10/10	0.4	Daughter2
Daughter2_D010	10	2022/10/11	0.4	Daughter2
Daughter2_D011	11	2022/10/12	0.6	Daughter2
Daughter2_D012	12	2022/10/13	0.6	Daughter2
Daughter2_D013	13	2022/10/14	0.6	Daughter2
Daughter2_D014	14	2022/10/15	0.6	Daughter2
Daughter2_D015	15	2022/10/16	0.6	Daughter2
Daughter2_D016	16	2022/10/17	0.8	Daughter2
Daughter2_D017	17	2022/10/18	0.8	Daughter2
Daughter2_D018	18	2022/10/19	0.8	Daughter2
Daughter2_D019	19	2022/10/20	0.8	Daughter2
Daughter2_D020	20	2022/10/21	0.8	Daughter2
Daughter2_D021	21	2022/10/22	1	Daughter2
Daughter2_D022	22	2022/10/23	1	Daughter2
Daughter2_D023	23	2022/10/24	1	Daughter2
Daughter2_D024	24	2022/10/25	1	Daughter2
Daughter2_D025	25	2022/10/26	1	Daughter2
Daughter2_D026	26	2022/10/27	1.2	Daughter2
Daughter2_D027	27	2022/10/28	1.2	Daughter2
Daughter2_D028	28	2022/10/29	1.2	Daughter2
Daughter2_D029	29	2022/10/30	1.2	Daughter2
Daughter2_D030	30	2022/10/31	1.2	Daughter2
Daughter2_D031	31	2022/11/1	1.4	Daughter2
Daughter2_D032	32	2022/11/2	1.4	Daughter2
Daughter2_D033	33	2022/11/3	1.4	Daughter2
Daughter2_D034	34	2022/11/4	1.4	Daughter2
Daughter2_D035	35	2022/11/5	1.4	Daughter2
Daughter2_D036	36	2022/11/6	1.6	Daughter2
Daughter2_D037	37	2022/11/7	1.6	Daughter2
Daughter2_D038	38	2022/11/8	1.6	Daughter2
Daughter2_D039	39	2022/11/9	1.6	Daughter2
Daughter2_D040	40	2022/11/10	1.6	Daughter2
Daughter2_D041	41	2022/11/11	1.8	Daughter2
Daughter2_D042	42	2022/11/12	1.8	Daughter2
Daughter2_D043	43	2022/11/13	1.8	Daughter2
Daughter2_D044	44	2022/11/14	1.8	Daughter2
Daughter2_D045	45	2022/11/15	1.8	Daughter2
Daughter2_D046	46	2022/11/16	2	Daughter2
Daughter2_D047	47	2022/11/17	2	Daughter2
Daughter2_D048	48	2022/11/18	2	Daughter2
Daughter2_D049	49	2022/11/19	2	Daughter2
Daughter2_D050	50	2022/11/20	2	Daughter2
Daughter2_D051	51	2022/11/21	2.2	Daughter2
Daughter2_D052	52	2022/11/22	2.2	Daughter2
Daughter2_D053	53	2022/11/23	2.2	Daughter2
Daughter2_D054	54	2022/11/24	2.2	Daughter2
Daughter2_D055	55	2022/11/25	2.2	Daughter2
Daughter2_D056	56	2022/11/26	2.4	Daughter2
Daughter2_D057	57	2022/11/27	2.4	Daughter2
Daughter2_D058	58	2022/11/28	2.4	Daughter2
Daughter2_D059	59	2022/11/29	2.4	Daughter2
Daughter2_D060	60	2022/11/30	2.4	Daughter2
Daughter2_D061	61	2022/12/1	2.6	Daughter2
Daughter2_D062	62	2022/12/2	2.6	Daughter2
Daughter2_D063	63	2022/12/3	2.6	Daughter2
Daughter2_D064	64	2022/12/4	2.6	Daughter2
Daughter2_D065	65	2022/12/5	2.6	Daughter2
Daughter2_D066	66	2022/12/6	2.8	Daughter2
