SampleID in library D1,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D2,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D3,Index 1 (i7) adapter,Index 2 (i5) adapter,,SampleID in library D4,Index 1 (i7) adapter,Index 2 (i5) adapter,,,,
Daughter1_090,N707,S511,,Daughter2_090,N707,S511,,Daughter3_090,N711,S511,,Daughter4_090,N707,S511,,,,
Daughter1_091,N710,S511,,Daughter2_091,N710,S511,,Daughter3_091,N712,S511,,Daughter4_091,N710,S511,,,,
Daughter1_092,N711,S511,,Daughter2_092,N711,S511,,Daughter3_092,N714,S511,,Daughter4_092,N711,S511,,,,
Daughter1_093,N712,S511,,Daughter2_093,N712,S511,,Daughter3_093,N701,S513,,Daughter4_093,N712,S511,,,,
Daughter1_094,N714,S511,,Daughter2_094,N714,S511,,Daughter3_094,N702,S513,,Daughter4_094,N714,S511,,,,
Daughter1_095,N715,S511,,Daughter2_095,N715,S511,,Daughter3_095,N703,S513,,Daughter4_095,N715,S511,,,,
Daughter1_096,N701,S513,,Daughter2_096,N703,S513,,Daughter3_096,N704,S513,,Daughter4_096,N701,S513,,,,
Daughter1_097,N702,S513,,Daughter2_097,N704,S513,,Daughter3_097,N705,S513,,Daughter4_097,N702,S513,,,,
Daughter1_098,N703,S513,,Daughter2_098,N705,S513,,Daughter3_098,N706,S513,,Daughter4_098,N703,S513,,,,
Daughter1_099,N704,S513,,Daughter2_099,N706,S513,,Daughter3_099,N707,S513,,Daughter4_099,N704,S513,,,,
Daughter1_100,N705,S513,,Daughter2_100,N707,S513,,Daughter3_100,N710,S513,,Daughter4_100,N705,S513,,,,
Daughter1_101,N706,S513,,Daughter2_101,N710,S513,,Daughter3_101,N701,S515,,Daughter4_101,N706,S513,,,,
Daughter1_102,N707,S513,,Daughter2_102,N701,S515,,Daughter3_102,N702,S515,,Daughter4_102,N707,S513,,,,
Daughter1_103,N710,S513,,Daughter2_103,N702,S515,,Daughter3_103,N703,S515,,Daughter4_103,N710,S513,,,,
Daughter1_104,N711,S513,,Daughter2_104,N703,S515,,Daughter3_104,N704,S515,,Daughter4_104,N711,S513,,,,
Daughter1_105,N712,S513,,Daughter2_105,N704,S515,,Daughter3_105,N705,S515,,Daughter4_105,N712,S513,,,,
Daughter1_106,N714,S513,,Daughter2_106,N705,S515,,Daughter3_106,N706,S515,,Daughter4_106,N714,S513,,,,
Daughter1_107,N715,S513,,Daughter2_107,N706,S515,,Daughter3_107,N707,S515,,Daughter4_107,N715,S513,,,,
Daughter1_108,N701,S515,,Daughter2_108,N707,S515,,Daughter3_108,N710,S515,,Daughter4_108,N701,S515,,,,
Daughter1_109,N702,S515,,Daughter2_109,N710,S515,,Daughter3_109,N701,S516,,Daughter4_109,N702,S515,,,,
Daughter1_110,N703,S515,,Daughter2_110,N701,S516,,Daughter3_110,N702,S516,,Daughter4_110,N703,S515,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
